TotalRows
Total Borrower Account AR Logs: 2409

BorrowerAccountARMessageText_Value,AREventCreationDateTime_Value,BorrowerNumber_Value,ActionCodeShortValueText_Value,ResultCodeShortValueText_Value,UserSystemUserName_Value
"APPROVE : Refund (4) AWG (total amt $225.94) to borrower for $67.69 trc#1951097 on 3/6/13, $67.15 trc#1954025 on 2/27/13, and a partial for $24.35 trc#2058045 on 2/19/13, : $66.75, T#1965092, 3/14/13",4/16/2013,1002007115,BROFSArv,BROFSAap,ferrelb
"APPROVE : REFUND AWG TO BORR EMPLOYER PER 3/9/13 NOTES: $151.15, T#7503282, 2/19/13",4/3/2013,1001775727,BROFSArv,BROFSAap,ferrelb
Approve : Refund AWG to borrower AFTER COMP:  for $106.39 trc#1955021 on 12/11/12.,4/4/2013,1001129057,BROFSArv,BROFSAap,ferrelb
Approve : Refund AWG to borrower for $209.76 trc#7507654 on 3/4/13.,4/4/2013,1001166951,BROFSArv,BROFSAap,ferrelb
"Approve : Refund IPAC to lender DLCN Montgomery, AL for $128.51 trc# I137498 on 2/6/13 (con has no collection fees nor does the sf1081).",4/3/2013,1001649870,BROFSArv,BROFSAap,ferrelb
"Approve : Refund TOP after rehab to borrower for $2,885.00 trc# S89981810 on 2/8/13.",5/15/2013,1001861052,BROFSArv,BROFSAap,ferrelb
APPROVE : Refund TOP to borrower for $136.90 trc# K88968586 on 1/3/13 (disab approved on 1/22/13 - refer to A/R event on 1/10/13 regarding disab).,4/4/2013,1001367684,BROFSArv,BROFSAap,ferrelb
APPROVE : Refund TOP to borrower for $159.00 trc# K91804962 on 3/1/13 (disab approved on 2/27/13 - refer to A/R event on 2/12/13 regarding disab).,4/16/2013,1001776663,BROFSArv,BROFSAap,ferrelb
Approve : Refund TOP to borrower for $16.06 trc# S90989653 on 2/21/13.,4/4/2013,1001102170,BROFSArv,BROFSAap,ferrelb
"Approve : Refund TOP to borrower for $2,236.60 trc# S89610596 on 2/4/13.",4/4/2013,1001463984,BROFSArv,BROFSAap,ferrelb
Approve : Refund TOP to borrower for $4005.00 trc# S90211775 on 2/12/13 (refer to A/R event on 2/7/13).,4/4/2013,1001604166,BROFSArv,BROFSAap,ferrelb
"Approve : Transfer to lender Nelnet Atlanta, GA VISA after rehab for $122.00 trc#1787 on 10/30/12.",4/3/2013,1001535200,BROFSArv,BROFSAap,ferrelb
"Approve : Transfer to lender Sallie Mae Atlanta, GA VISA after rehab for $275.00 trc#1271 on 5/1/12.",4/4/2013,1001175430,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $10.28 (1) AWG OP (1) VOL OP TO BORROWER,4/3/2013,1001836436,BROFSArv,BROFSAap,ferrelb
Approve ; REFUND $1011.00 TOP AFTER REHAB TO BORROWER,4/1/2013,1003638504,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $122.05 (2) AWG OP TO BORROWER,4/16/2013,1001821087,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $178.94 TOP OP TO BORROWER,4/16/2013,1002687910,BROFSArv,BROFSAap,ferrelb
Approve ; REFUND $210.67 AWG OP TO BORROWER,4/2/2013,1001865712,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $231.66 (2) AWG OP TO BORROWER,4/16/2013,1001832074,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $271.74 (4) AWG OP TO BORROWER,4/16/2013,1002319368,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $305.00 VOL AFTER CONSOL TO LENDER - DL MONTGOMERY,4/3/2013,1001745833,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $317.70 (2) TOP AFTER HARDSHIP TO BORROWER,4/4/2013,1001617101,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $318.85 PARTIAL TOP AFTER COMP TO BORROWER,4/3/2013,1001660440,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $413.99 PARTIAL TOP OP TO BORROWER,4/3/2013,1001718773,BROFSArv,BROFSAap,ferrelb
APPROVE ; REFUND $508.52 (1) AWG OP (1) PARTIAL TOP OP TO BORROWER,4/4/2013,1001577874,BROFSArv,BROFSAap,ferrelb
"APPROVE ; REFUND $85.00 (4) VOL AFTER REHAB TO LENDER - CSB-PERKINS / ACS ,INC.",4/16/2013,1002399052,BROFSArv,BROFSAap,ferrelb
"Approve ; REFUND AWG AND TOP OP TO BORR: ($295.59-TOTAL) $147.67, T#7503417, 3/8/13, $147.92, T#S91667374, 2/27/13",4/2/2013,1002018195,BROFSArv,BROFSAap,ferrelb
"Approve ; REFUND AWG OP TO bORR ($420.37-TOTAL) : 2-8-13 $176.87 T#7502019, 2-25-13 $243.50 T#7501583",4/3/2013,1001917530,BROFSArv,BROFSAap,ferrelb
"APPROVE ; REFUND TOP AFTER COMP TO BORR: $299.18, T#S90476099, 2/13/13",4/16/2013,1002190801,BROFSArv,BROFSAap,ferrelb
"APPROVE ; REFUND TOP OP TO BORR: $167.56, T#S91199014, 2/26/13",4/16/2013,1002250118,BROFSArv,BROFSAap,ferrelb
"APPROVE ; REFUND TOP TO BORR: $5901.17, T#S90430100, 2/13/13",4/16/2013,1002221874,BROFSArv,BROFSAap,ferrelb
Approve 2 refund $272.27 to borrower. awise/r4,4/3/2013,1000798507,BROFSArv,BROFSAap,wisea
Approve 2 refunds $360.86;  $102.86 to DL and $258.00 to borrower. awise/r4,4/11/2013,1000129174,BROFSArv,BROFSAap,wisea
Approve 2 refunds $89.03 07/05/12 $88.85 07/16/12 to borr. awise/r4,8/10/2012,1002542184,BROFSArv,BROFSAap,wisea
Approve 2 refunds for $222.82 to borrower. awise/r4,3/8/2013,1001891179,BROFSArv,BROFSAap,wisea
"Approve 2 refunds totaling $1,131.38 amounts in UDP correct to borrower TOPS rec'd after rehabb. awise/r4",4/15/2013,1003529275,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $110.00 to Nelnet. awise/r4,3/29/2013,1000324663,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $141.04 to borrower from TOP and AWG pymt. awise/r4,4/5/2013,1002717726,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $149.25 to borrower from TOP OP and AWG pymt. awise/r4,4/15/2013,1003605325,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $161.82 to borrower from AWG &  TOP OP. awise/r4,4/8/2013,1000105425,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $211.63 to borrower. awise/r4,4/15/2013,1003563922,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $254.32 to borrower AWG OP. awise/r4,4/10/2013,1000576595,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $380.50 to bwr frm TOP OP and awg pymt. awise/r4,4/5/2013,1002493357,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $495.26 AWG pymts after rehab. awise/r4,4/8/2013,1000416789,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $497.22 to borrower. awise/r4,4/5/2013,1002587120,BROFSArv,BROFSAap,wisea
Approve 2 refunds totaling $591.98 to borrower. awise/r4,4/8/2013,1000376647,BROFSArv,BROFSAap,wisea
Approve 2 refunds totalling $277.04 to borrower. awise/r4,4/15/2013,1003592942,BROFSArv,BROFSAap,wisea
"Approve 23 refunds totaling $1,757.78 to borrowr AWG OP. awise/r4",4/10/2013,1000758715,BROFSArv,BROFSAap,wisea
Approve 3 refunds $174.90 05/16/12 $174.90 06/20/12 and add'l top $174.90 07/18/12 to borrower. awise/r4,8/7/2012,1002280532,BROFSArv,BROFSAap,wisea
Approve 3 refunds for $195.00 to SLMA. awise/r4,4/5/2013,1002903502,BROFSArv,BROFSAap,wisea
"Approve 3 refunds totaling $1,050.00 to lender/Nelnet. awise/r4",2/8/2013,1003183916,BROFSArv,BROFSAap,wisea
"Approve 3 refunds totaling $1,317.82 to borrower. awise/r4",4/5/2013,1002533702,BROFSArv,BROFSAap,wisea
Approve 3 refunds totaling $195.00 to salliemae. awise/r4,12/12/2012,1002903502,BROFSArv,BROFSAap,wisea
Approve 3 refunds totaling $206.07 to borrower. awise/r4,4/15/2013,1003585889,BROFSArv,BROFSAap,wisea
Approve 3 refunds totaling $282.88 to borrower from TOP OP and AWG pymts. awise/r4,4/15/2013,1003618374,BROFSArv,BROFSAap,wisea
Approve 3 refunds totaling $407.34 to borrower. awise/r4,4/8/2013,1000424902,BROFSArv,BROFSAap,wisea
Approve 3 refunds totaling $470.25 to borrower. awise/r4,4/5/2013,1003163672,BROFSArv,BROFSAap,wisea
Approve 3 TOP refunds totaling $2099.00 to bwr approve for close school disch. awise/r4,4/5/2013,1002797490,BROFSArv,BROFSAap,wisea
"Approve 32 refunds totaling $3,075.15 to borrower. awise/r4",3/8/2013,1000360829,BROFSArv,BROFSAap,wisea
Approve 4 refunds $334.03 to borrower and $50.00 to Great Lakes. awise/r4,4/5/2013,1003422990,BROFSArv,BROFSAap,wisea
Approve 4 refunds totaling $100.00  the Estate of Jerry Overby.  awise/r4,4/5/2013,1002585568,BROFSArv,BROFSAap,wisea
Approve 4 refunds totaling $160.00  to lender/PHEAA. awise/r4,11/30/2012,1000652264,BROFSArv,BROFSAap,wisea
"Approve 9 refunds totaling $1,482.66 to borrower AWG overpayments. awise/r4",4/15/2013,1003668871,BROFSArv,BROFSAap,wisea
"APPROVE CORRECTION: REFUND $46.27 PARTIAL TOP OP AFTER COMP SIF TO BORROWER;
REFUND $S90920621 $46.27 02/21/2013",4/4/2013,1002787576,BROFSArv,BROFSAap,ferrelb
APPROVE I; REFUND $200.00 (2) VOL AFTER REHAB TO LENDER - PHEAA,4/3/2013,1001841725,BROFSArv,BROFSAap,ferrelb
APPROVE INTERNAL APPROVAL; REFUND $139.34 AWG OP TO BORROWER,4/16/2013,1001756296,BROFSArv,BROFSAap,ferrelb
"APPROVE INTERNAL APPROVAL; REFUND TOP AND VOL OP TO BORR (TOTAL: $106.47): $34.71, 02/21/13, TR S91133711; $71.76, 03/06/13, TR 1983040",4/16/2013,1002803772,BROFSArv,BROFSAap,ferrelb
Approve internal; REFUND $192.56 AW OP TO BORROWER,4/2/2013,1001779458,BROFSArv,BROFSAap,ferrelb
Approve refund #238.25 (4) AWG OP (1) PARTIAL TOP OP TO BORROWER,4/11/2013,1002943969,BROFSArv,BROFSAap,ferrelb
"Approve refund $1,152.13 to borrower TOP after sif. awise/r4",4/10/2013,1000454770,BROFSArv,BROFSAap,wisea
"Approve refund $1,285.29 to borrower. awise/r4",4/8/2013,1000381978,BROFSArv,BROFSAap,wisea
"Approve refund $1,293.75 to borrower TOP OP. awise/r4",4/5/2013,1002446689,BROFSArv,BROFSAap,wisea
"Approve refund $1,671.73 to borrower and spouse from TOP op from comp. awise/r4",4/10/2013,1000672589,BROFSArv,BROFSAap,wisea
"Approve refund $1,839.00 to borrower for hardship. awise/r4",4/8/2013,1002159029,BROFSArv,BROFSAap,wisea
Approve refund $100.14 to 3rd party Bobby Cleveland. awise/r4,4/15/2013,1000470433,BROFSArv,BROFSAap,wisea
APPROVE REFUND $108.59 TOP OP TO BORROWER,4/11/2013,1002785374,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $109.74 AWG OP TO BORROWE,4/16/2013,1002493474,BROFSArv,BROFSAap,ferrelb
Approve refund $11.99 to borrower. awise/r4,4/15/2013,1003615866,BROFSArv,BROFSAap,wisea
APPROVE REFUND $110.09 CONSOL OP ,4/16/2013,1002316629,BROFSArv,BROFSAap,ferrelb
"APPROVE REFUND $1116.74 PARTIAL TOP AFTER COMP;
COMP SET 01/02/2013 $2800.00 DUE BT 04/02/2013; COMP SIF 02/13/2013",4/4/2013,1003489487,BROFSArv,BROFSAap,ferrelb
Approve refund $117.30 to borrower. awise/r4,4/11/2013,1000360829,BROFSArv,BROFSAap,wisea
Approve refund $120.00 to PHEAA. awise/r4,4/8/2013,1000189288,BROFSArv,BROFSAap,wisea
APPROVE REFUND $123.00 AWG OP TO BORROW,4/16/2013,1002775483,BROFSArv,BROFSAap,ferrelb
Approve refund $123.00 to borrower TOP OP. awise/r4,4/11/2013,1000317665,BROFSArv,BROFSAap,wisea
Approve refund $131.25 to borrower from TOP OP. awise/r4,4/10/2013,1000533103,BROFSArv,BROFSAap,wisea
Approve refund $136.00 to borrower TOP  rec'd after Consol. awise/r4,4/8/2013,1000095507,BROFSArv,BROFSAap,wisea
"APPROVE REFUND $140.00 VOL AFTER REHAB TO LENDER - GREAT LAKES;
TRACE # 8427 $140.00 02/01/2013",4/4/2013,1002951482,BROFSArv,BROFSAap,ferrelb
Approve refund $146.69 to borrower AWG pymt rec'd after sif. awise/r4,4/8/2013,1000411684,BROFSArv,BROFSAap,wisea
Approve refund $150.00 to Nelnet. awise/r4,4/5/2013,1003630582,BROFSArv,BROFSAap,wisea
Approve refund $151.95 to borr. awise/r4,11/27/2012,1002279614,BROFSArv,BROFSAap,wisea
Approve refund $155.62 to borr AWG Op. awise/r4,1/18/2013,1000664385,BROFSArv,BROFSAap,wisea
Approve refund $155.78 to borrower. awise/r4,4/15/2013,1003541671,BROFSArv,BROFSAap,wisea
Approve refund $159.58 to borrower TOP OP. awise/r4,4/5/2013,1002451515,BROFSArv,BROFSAap,wisea
Approve refund $160.35 to borrower for hardship. awise/r4,4/5/2013,1003462857,BROFSArv,BROFSAap,wisea
Approve refund $166.49 08/22/12 to borr awg op. awise/r4,9/4/2012,1002577819,BROFSArv,BROFSAap,wisea
Approve refund $169.92 to borrower from comp op. awise/r4,4/10/2013,1000868327,BROFSArv,BROFSAap,wisea
Approve refund $172.00 to borrower TOP after consol. awise/r4,4/8/2013,1000246668,BROFSArv,BROFSAap,wisea
"Approve REFUND $172.06 (1) $147.33 PARTIAL TOP OP;
 (1) $24.73 AWG OP TO BORROWER",4/1/2013,1003561834,BROFSArv,BROFSAap,ferrelb
Approve refund $178.31 to borrower acct sif. awise/r4,4/8/2013,1000379710,BROFSArv,BROFSAap,wisea
Approve refund $180.17 to DLCN. awise/r4,3/29/2013,1000583983,BROFSArv,BROFSAap,wisea
APPROVE REFUND $185.59 TOP AFTER COMP TO BORROWER,4/4/2013,1000790445,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $189.60 (2) AWG OP TO BORROWER,4/4/2013,1001415074,BROFSArv,BROFSAap,ferrelb
Approve refund $193.05 to borrower TOP rec'd after comp paid. awise/r4,4/11/2013,1000389765,BROFSArv,BROFSAap,wisea
APPROVE REFUND $194.99 (2) AWG OP (1) PARTIAL TOP OP TO BORRO,4/4/2013,1003398467,BROFSArv,BROFSAap,ferrelb
"Approve refund $2,347.00 to borrower approve for TPD. awise/r4",4/8/2013,1000160193,BROFSArv,BROFSAap,wisea
"Approve refund $2,804.93 to borrower for hardship. awise/r4",4/10/2013,1000419587,BROFSArv,BROFSAap,wisea
"Approve refund $2,804.93 to borrower for hardship. awise/r4",4/16/2013,1000419587,BROFSArv,BROFSAap,wisea
"Approve refund $2,835.08 to 3rd Party entered in UDP. awise/r4",4/10/2013,1000544720,BROFSArv,BROFSAap,wisea
"Approve refund $2,903.55 to borrower TOP rec'd after Consol. awise/r4",3/29/2013,1000604101,BROFSArv,BROFSAap,wisea
"Approve refund $2,995.00 to borrower for hardship. awise/r4",4/8/2013,1003613961,BROFSArv,BROFSAap,wisea
APPROVE REFUND $201.75 TOP AFTER COMP TO BO,4/8/2013,1003057406,BROFSArv,BROFSAap,ferrelb
Approve refund $203.29 to borrower op acct. awise/r4,12/18/2012,1001393763,BROFSArv,BROFSAap,wisea
Approve refund $2081.68 10/29/12 to borr TOP rec'd after rehab. awise/r4,11/8/2012,1000864627,BROFSArv,BROFSAap,wisea
Approve refund $219.17 07/20/12 to borr for TOP hardship. awise/r4,10/12/2012,1002994849,BROFSArv,BROFSAap,wisea
"APPROVE REFUND $231.82 AWG OP TO BORROWER;
TRACE # 7505273 $231.82 03/04/2013",4/4/2013,1002488833,BROFSArv,BROFSAap,ferrelb
Approve refund $2357.00 to borrower; Top Hardship,4/8/2013,1000367837,BROFSArv,BROFSAap,ferrelb
"APPROVE REFUND $24.39 PARTIAL TOP OP TO BORROWER;
TRACE # S91579195 $24.39 02/27/2013",4/4/2013,1002693890,BROFSArv,BROFSAap,ferrelb
Approve refund $249.64 to borrower TOP OP. awise/r4,4/11/2013,1000421958,BROFSArv,BROFSAap,wisea
Approve refund $25.00 to DLCN. awise/r4,4/5/2013,1002569432,BROFSArv,BROFSAap,wisea
Approve refund $258.31 to borrower TOP after comp. awise/r4,4/5/2013,1003661864,BROFSArv,BROFSAap,wisea
APPROVE REFUND $260.00 (8) TOP AFTER VA TPD TO,4/8/2013,1003182428,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $260.92 (2) AWG OP (1) PARTIAL TOP OP TO BORRO,4/4/2013,1002576439,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $2647.61 (14) AWG OP TO BORROWER,4/4/2013,1003501592,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $289.60 (2) VOL OP (1) PARTIAL TOP OP TO BORROW,4/4/2013,1001795704,BROFSArv,BROFSAap,ferrelb
"Approve refund $3,277.38 TOP Ovpymt to borrower. awise/r4",3/29/2013,1001474476,BROFSArv,BROFSAap,wisea
Approve REFUND $3149.43 PARTIAL TOP OP TO BORROWER,4/11/2013,1002995062,BROFSArv,BROFSAap,ferrelb
"APPROVE REFUND $32.74 (1) $25.00 VOL CC CHARGEBACK - TRACE # 5133 $25.00 02/25/2013; (1) $7.74 PARTIAL TOP OP TO BORROWER;  
TRACE #S91295228 $7.74 02/25/2013",4/4/2013,1002823626,BROFSArv,BROFSAap,ferrelb
"APPROVE REFUND $321.16; (3) AWG OP (1) PARTIAL TOP OP TO BOROWER;
TRACE #7503330 $68.07 03/01/2013; TRACE #7503261 $60.40 02/25/2013
TRACE #7503225 $68.51 02/14/2013;TRACE#S90456517 $124.18 02/13/2013",4/4/2013,1002873463,BROFSArv,BROFSAap,ferrelb
Approve refund $335.04 per 3/6/13 notation,4/15/2013,1000089270,BROFSArv,BROFSAap,tatarm
Approve refund $345.04 to borrower TOP OP and pymts after comp met. awise/r4,4/11/2013,1000285095,BROFSArv,BROFSAap,wisea
APPROVE REFUND $352.78 PARTIAL TOP AFTER COMP TO BORROWER,4/4/2013,1001381352,BROFSArv,BROFSAap,ferrelb
Approve refund $356.42 to borrower AWG OP. awise/r4,4/10/2013,1000545616,BROFSArv,BROFSAap,wisea
Approve refund $358.79 to borrower. awise/r4,4/15/2013,1003683414,BROFSArv,BROFSAap,wisea
Approve refund $359.79 to borrower. awise/r4,4/15/2013,1003683414,BROFSArv,BROFSAap,wisea
Approve refund $363.76 to borrower TOP OP. awise/r4,4/10/2013,1000679360,BROFSArv,BROFSAap,wisea
Approve refund $383.67 from 3 AWG pymts and 1 TOP op to borrower. awise/r4 ,4/15/2013,1003515297,BROFSArv,BROFSAap,wisea
APPROVE REFUND $3883.00 TOP AFTER REHAB TO BORROWER,4/4/2013,1003281626,BROFSArv,BROFSAap,ferrelb
"Approve refund $4,108.94 to borrower for hardship. awise/r4 ",4/8/2013,1000538000,BROFSArv,BROFSAap,wisea
"Approve refund $4,135.74 for hardship. awise/r4",4/16/2013,1003534344,BROFSArv,BROFSAap,wisea
"Approve refund $4,135.74 to borrowr for hardship. awise/r4",4/10/2013,1003534344,BROFSArv,BROFSAap,wisea
"Approve refund $4,149.00 TOP to borrower. awise/r4",5/29/2013,1000839672,BROFSArv,BROFSAap,wisea
"Approve refund $4,695.00 to borrower for hardship. awise/r4",4/11/2013,1000366636,BROFSArv,BROFSAap,wisea
"Approve refund $4,802.00 to borrower TOP rec'd after consol. awise/r4",4/8/2013,1000254650,BROFSArv,BROFSAap,wisea
APPROVE REFUND $4055.34 PARTIAL TOP OP TO BORROWER,4/8/2013,1003129481,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $4224.82 CONSOL OP TO LENDER - DL MONTGOMERY,4/4/2013,1003680270,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $43.59 CONSOL OP TO LENDER - DL MONTGOMERY,4/4/2013,1003657202,BROFSArv,BROFSAap,ferrelb
Approve refund $438.96 TOP after comp to borrower. awise/r4,3/29/2013,1000345785,BROFSArv,BROFSAap,wisea
Approve refund $483.39 to borrower TOP OP. awise/r4,4/5/2013,1002557862,BROFSArv,BROFSAap,wisea
Approve refund $50.00 to borrower. awise/r4,4/8/2013,1000359439,BROFSArv,BROFSAap,wisea
APPROVE REFUND $50.00 VOL AFTER REHAB,4/16/2013,1002234305,BROFSArv,BROFSAap,ferrelb
Approve refund $500.00 to SLMA. awise/r4,4/10/2013,1000505526,BROFSArv,BROFSAap,wisea
Approve refund $507.00 to borrower TOP after Rehab. awise/r4,4/11/2013,1000401650,BROFSArv,BROFSAap,wisea
Approve refund $52.46 to borrower. awise/r4,4/5/2013,1000075418,BROFSArv,BROFSAap,wisea
Approve refund $521.00 to borrower approve VA disch. awise/r4,4/5/2013,1000091835,BROFSArv,BROFSAap,wisea
Approve refund $526.23 from TOP OP and 1 AWG pymt. awise/r4,4/3/2013,1000818336,BROFSArv,BROFSAap,wisea
Approve refund $545.57 to borrower comp op by TOP. awise/r4,4/8/2013,1000151246,BROFSArv,BROFSAap,wisea
APPROVE REFUND $554.03 (2) AWG OP (1) PARTIAL ,4/8/2013,1003187727,BROFSArv,BROFSAap,ferrelb
Approve refund $60.49 to borrower TOP OP. awise/r4,4/11/2013,1000306827,BROFSArv,BROFSAap,wisea
Approve refund $60.82 to borrower. awise/r4,4/8/2013,1000313452,BROFSArv,BROFSAap,wisea
Approve REFUND $6416.00 TOP AFTER CONSOL TO BORROWER,4/11/2013,1002906432,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $67.44 PARTIAL TOP OP TO BORR,4/8/2013,1003078094,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $6938.86 CLOSED SCHOOL,4/16/2013,1002357867,BROFSArv,BROFSAap,ferrelb
APPROVE REFUND $700.00 (14) VOL AFTER CONSOL TO LENDER - DL M,4/4/2013,1001413049,BROFSArv,BROFSAap,ferrelb
Approve refund $711.35 to borrower for hardship. awise/r4,4/16/2013,1001869886,BROFSArv,BROFSAap,wisea
Approve refund $72.02 to borrower. awise/r4,4/3/2013,1000851288,BROFSArv,BROFSAap,wisea
"APPROVE REFUND $723.24 TOP OP TO BORROWER;
TRACE #S90672191 $723.24 02/15/2013",4/4/2013,1002789363,BROFSArv,BROFSAap,ferrelb
Approve refund $75.00 to lender Great Lakes. awise/r4,4/10/2013,1000738131,BROFSArv,BROFSAap,wisea
Approve refund $77.91 to borrower TOP OP after comp met. awise/r4,4/8/2013,1000214831,BROFSArv,BROFSAap,wisea
Approve refund $78 2/21/2013; $84.33 3/1/2013; $77.75 2/13/2013; additional refund $78.10 3/7/2013,3/11/2013,1000445034,BROFSArv,BROFSAap,tatarm
Approve refund $859.22 to borrower TOP after comp. awise/r4,4/5/2013,1000063373,BROFSArv,BROFSAap,wisea
Approve refund $861.08 to borrower TOP. awise/r4,4/15/2013,1003649611,BROFSArv,BROFSAap,wisea
APPROVE REFUND $864.09 (6) AWG OP TO BORROWER,4/4/2013,1003657384,BROFSArv,BROFSAap,ferrelb
Approve refund $90.00 to PHEAA. awise/r4,4/11/2013,1000125814,BROFSArv,BROFSAap,wisea
Approve refund $949.36 to borrower TOP OP. awise/r4,4/5/2013,1003463655,BROFSArv,BROFSAap,wisea
Approve refund $966.97 PARTIAL TOP OP TO BORROWER,4/11/2013,1003023550,BROFSArv,BROFSAap,ferrelb
Approve refund $98.41 to borrower pymt after Consol. awise/r4,3/29/2013,1001063296,BROFSArv,BROFSAap,wisea
APPROVE REFUND $987.05 UPD DISCHARGE TO BORROWER,4/16/2013,1002755403,BROFSArv,BROFSAap,ferrelb
Approve refund $993.00  to borrower comp overpd by TOP.  awise/r4,3/29/2013,1001076671,BROFSArv,BROFSAap,wisea
"Approve Refund 3 partial TOP payments to borrower, per notes on 6/19/12, borrowers offset payments were reduced to $100.00: $292.32, 11/01/2012,  $292.32, 10/01/2012, $292.32, 09/01/2012,",11/29/2012,1002494620,BROFSArv,BROFSAap,tatarm
Approve Refund additional AWG op to borr: $499.21,4/8/2013,1003262625,BROFSArv,BROFSAap,ferrelb
"APPROVE REFUND AWG OP TO BORR: (TOTAL-$888.50) $217.52, 01/03/13, TR 7504647; $335.07, 02/11/13, TR 7507472; $335.91, 03/11/13, TR 7508271",4/16/2013,1002813751,BROFSArv,BROFSAap,ferrelb
Approve refund for $125.00 to SLMA. awise/r4,3/29/2013,1001472866,BROFSArv,BROFSAap,wisea
