TotalRows
Total Borrower Account AR Logs: 883

BorrowerAccountARMessageText_Value,AREventCreationDateTime_Value,BorrowerNumber_Value,ActionCodeShortValueText_Value,ResultCodeShortValueText_Value,UserSystemUserName_Value
Approve Refund $160.74 op to borr: $65.95 2/27/13; $94.79 3/5/13,4/4/2013,1009968223,BROFSArv,BROFSAap,tatarm
Approve refund $183.19 to borrower. awise/r4,4/15/2013,1003686030,BROFSArv,BROFSAap,wisea
"Approve REFUND $19.30 PARTIAL TOP OP TO BORROWER;
 $19.30 02/25/2013",4/8/2013,1010818590,BROFSArv,BROFSAap,tatarm
Approve refund $194.90 to borrower. awise/r4,3/29/2013,1010605760,BROFSArv,BROFSAap,wisea
"Approve refund $2,055.00 to borrower for hardship. awise/r4",4/8/2013,1010100241,BROFSArv,BROFSAap,wisea
"Approve refund $2,065.43 to borrower for hardship. awise/r4",4/10/2013,1009832899,BROFSArv,BROFSAap,wisea
"Approve refund $2,065.43 to borrower for hardship. awise/r4",4/16/2013,1009832899,BROFSArv,BROFSAap,wisea
"Approve refund $2,369.52 to borrower for hardship. awise/r4",4/16/2013,1010367008,BROFSArv,BROFSAap,wisea
"Approve refund $2,432.69 to borrower for hardship. awise/r4",4/8/2013,1003739046,BROFSArv,BROFSAap,wisea
"Approve REFUND $2042.24 TOP AFTER COMP SIF TO BORROWER;
 $2042.24 03/13/2013",4/8/2013,1010741480,BROFSArv,BROFSAap,tatarm
Approve Refund $2044.11 for comp op to borr: $1297.52 2/13/13; $252.97 2/22/13; $493.62 3/7/13 ,4/3/2013,1010471837,BROFSArv,BROFSAap,tatarm
Approve refund $22.24 to borrower TOP OP. awise/r4,4/3/2013,1009744662,BROFSArv,BROFSAap,wisea
Approve Refund $22.41 PARTIIAL TOP OP TO BORROWER,4/1/2013,1009907252,BROFSArv,BROFSAap,ferrelb
Approve Refund $240.00 for closed school discharge approved on 3/20/13: $120.00 10/31/12 ; $120.00 11/1/12,4/8/2013,1010701064,BROFSArv,BROFSAap,tatarm
Approve refund $250.59 to borrower. awise/r4,3/29/2013,1009938958,BROFSArv,BROFSAap,wisea
Approve Refund $2529.00 1/16/13 tr#K89236493 and $689.00 1/3/13 tr#K89153319 for hsdhp approval per shumpet on 3/4/13 and  1/28/13 ,4/8/2013,1010433230,BROFSArv,BROFSAap,ferrelb
Approve Refund $259.29 op to borr: $101.00 2/21/13; $158.29 3/1/13 additional refund; additional refund $160.59 3/13/2013 ,4/3/2013,1010592012,BROFSArv,BROFSAap,tatarm
Approve refund $282.76 to borrower TOP rec'd after Comp. awise/r4,3/29/2013,1009900579,BROFSArv,BROFSAap,wisea
Approve refund $298.23 to borrower TOP Overpymt from Comp. awise/r4,3/29/2013,1009876672,BROFSArv,BROFSAap,wisea
"Approve refund $3,000.00 to borrower for hardship. awise/r4",4/16/2013,1010450316,BROFSArv,BROFSAap,wisea
"Approve refund $3,434.73 to borrower for hardship. awise/r4",4/16/2013,1010568322,BROFSArv,BROFSAap,wisea
"Approve refund $3,490.00 to borrower approve for hardship. awise/r4",4/10/2013,1011291804,BROFSArv,BROFSAap,wisea
"Approve refund $3,490.00 to borrower for hardship. awise/r4",4/16/2013,1011291804,BROFSArv,BROFSAap,wisea
"Approve refund $3,508.00 to borrower TOP rec'd after Rehab. awise/r4",4/3/2013,1003855851,BROFSArv,BROFSAap,wisea
"Approve refund $3,779.54 to borrower for hardship. awise/r4",4/16/2013,1010036711,BROFSArv,BROFSAap,wisea
"Approve refund $3,779.54 to borrowr for hardship. awise/r4",4/10/2013,1010036711,BROFSArv,BROFSAap,wisea
Approve REFUND $30.21 PARTIAL TOP OP TO BORROWER;  $30.21 02/07/2013,4/8/2013,1011394193,BROFSArv,BROFSAap,tatarm
Approve refund $300.00 03/18/13 to lender Nelnet. awise/r4,4/29/2013,1010422669,BROFSArv,BROFSAap,wisea
Approve refund $3020.00 to borrower TOP after rehab. Notes on acct show borrower rehab was delayed. awise/r4,4/3/2013,1003944794,BROFSArv,BROFSAap,wisea
Approve Refund $326.97 op to borr: $99.63 2/6/13 ; $227.34 2/19/13,4/4/2013,1009962740,BROFSArv,BROFSAap,tatarm
Approve REFUND $35.00 VOL OP TO BORROWER;  $35.00 02/25/2013,4/8/2013,1015996057,BROFSArv,BROFSAap,tatarm
Approve REFUND $352.25 (2) AWG OP (1) PARTIAL TOP OP TO BORROWER,4/1/2013,1003783340,BROFSArv,BROFSAap,ferrelb
Approve refund $362.81 09/11/12 to borr for awg op. awise/r4,9/20/2012,1003781880,BROFSArv,BROFSAap,wisea
Approve REFUND $390.15 TO BORROWER; TOP POSTED AFTER ACCOUNT PIF,4/8/2013,1010601259,BROFSArv,BROFSAap,tatarm
"Approve refund $4,079.00 to borrower for hardship. awise/r4",4/8/2013,1010117498,BROFSArv,BROFSAap,wisea
"Approve refund $4,460.00 to borrower for hardshp. awise/r4",4/8/2013,1010100564,BROFSArv,BROFSAap,wisea
"Approve refund $4,489.00 to borrower TOP rec'd after Consol. awise/r4",3/29/2013,1010625526,BROFSArv,BROFSAap,wisea
"Approve REFUND $465.42 (2) AWG OP (1) PARTIAL TOP OP TO BORROWER;
 $326.19 03/19/2013; $94.98 03/05/2013; $44.25 02/27/2013",4/8/2013,1010777158,BROFSArv,BROFSAap,tatarm
Approve refund $4739.00 to borrower TOP rec'd after Consol. awise/r4,3/29/2013,1010105295,BROFSArv,BROFSAap,wisea
APPROVE REFUND $50.00 VOL AFTER REHAB TO LENDER - NELNET,4/4/2013,1003719173,BROFSArv,BROFSAap,ferrelb
Approve refund $60.00 to Great Lakes. awise/r4,3/29/2013,1015238222,BROFSArv,BROFSAap,wisea
Approve refund $75.08 to borrower. awise/r4,4/15/2013,1003689551,BROFSArv,BROFSAap,wisea
"Approve REFUND $78.21 TOP AFTER ACCOUNT PIF TO BORROWER;
 $78.21 03/13/2013",4/8/2013,1010662493,BROFSArv,BROFSAap,tatarm
Approve refund $784.00 to borrower. awise/r4,4/3/2013,1003925735,BROFSArv,BROFSAap,wisea
Approve REFUND $80.00 VOL POSTED AFTER REHAB TO LENDER - CSBL PERKINS; $80.00 08/15/2012,4/8/2013,1011791495,BROFSArv,BROFSAap,tatarm
Approve REFUND $89.92 AWG AFTER COMP SIF TO BORROWER,4/3/2013,1011582939,BROFSArv,BROFSAap,tatarm
APPROVE REFUND $93.00 VOL AFTER REHAB TO LENDER - NELNET,4/1/2013,1003689379,BROFSArv,BROFSAap,ferrelb
Approve refund $943.30 to borrower TOP rec'd after comp. awise/r4,4/15/2013,1003696586,BROFSArv,BROFSAap,wisea
Approve Refund additional AWG op to borr: $116.32 3/4/13,4/3/2013,1010535062,BROFSArv,BROFSAap,tatarm
Approve Refund AWG op to borr: $109.56 2/27/13; additional refund $38.12 3/12/13,4/4/2013,1010019490,BROFSArv,BROFSAap,tatarm
Approve Refund AWG op to borr: $139.86 2/19/13; $149.49 3/7/13,4/4/2013,1010072409,BROFSArv,BROFSAap,tatarm
Approve Refund AWG op to borr: $21.87 2/25/13,4/4/2013,1010106097,BROFSArv,BROFSAap,tatarm
Approve Refund AWG op to borr: $470.35 2/26/13,4/4/2013,1003770833,BROFSArv,BROFSAap,tatarm
Approve Refund AWG op to borr: $52.28 3/4/13.  Additional refunds $139.41 3/8/2013; $110.66 4/1/2013,4/4/2013,1010363878,BROFSArv,BROFSAap,tatarm
Approve Refund AWG op to borr: $81.69 3/4/13,4/4/2013,1010226098,BROFSArv,BROFSAap,tatarm
Approve REFUND AWG OP TO BORROWER; $125.06 03/15/2013; additional refund $135.25 3/25/2013,4/8/2013,1010608183,BROFSArv,BROFSAap,tatarm
"Approve Refund IPAC to lender DLCN Montgomery, AL for $85.90 on 3/12/13.",4/8/2013,1010567330,BROFSArv,BROFSAap,tatarm
Approve refund noted 3/12/2013,4/4/2013,1009759948,BROFSArv,BROFSAap,tatarm
Approve refund noted 3/21/13,4/8/2013,1010330823,BROFSArv,BROFSAap,tatarm
Approve Refund op $236.40 to borr: $56.98 2/8/13; $91.42 2/19/13; $89.71 3/7/13,4/4/2013,1010285781,BROFSArv,BROFSAap,tatarm
Approve Refund partial TOP for comp op to borr: $1937.46 3/1/13,4/3/2013,1010775411,BROFSArv,BROFSAap,tatarm
Approve Refund partial TOP for comp op to borr: $296.85 2/7/13,4/4/2013,1010298527,BROFSArv,BROFSAap,tatarm
Approve Refund partial TOP for comp op to borr: $463.01 2/12/13,4/4/2013,1009939954,BROFSArv,BROFSAap,tatarm
Approve Refund partial TOP op to borr: $131.74 2/27/13; Additional refund $177.83 3/11/13; $179.17 3/25/13,4/4/2013,1010182063,BROFSArv,BROFSAap,tatarm
Approve Refund partial TOP op to borr: $145.46 2/12/13,4/4/2013,1003769067,BROFSArv,BROFSAap,tatarm
Approve Refund partial TOP op to borr: $33.50 2/21/13,4/3/2013,1010505511,BROFSArv,BROFSAap,tatarm
"Approve REFUND PARTIAL TOP PER SHUMPET: $2500.00, T#S89895880, 2/7/13",4/8/2013,1010830882,BROFSArv,BROFSAap,ferrelb
Approve refund per 3/13/13 notation,4/4/2013,1010287946,BROFSArv,BROFSAap,tatarm
Approve refund per 3/20/13 notation,4/8/2013,1010246454,BROFSArv,BROFSAap,tatarm
Approve refund per 3/20/2013 notation,4/8/2013,1010377291,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/10 notation,4/9/2013,1009931625,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13,4/11/2013,1009931395,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/8/2013,1010311594,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/8/2013,1010227021,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/9/2013,1010095752,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/9/2013,1009989037,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/9/2013,1009862210,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/9/2013,1009846000,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/9/2013,1009798510,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/10/2013,1003736482,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/8/2013,1010454830,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/8/2013,1010458980,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/8/2013,1010385957,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/15/2013,1010470212,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation,4/18/2013,1010346578,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation additional refund $142.674/1/13 ,4/9/2013,1010146223,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/13 notation.  Additional refund $125.46 3/20/13,4/18/2013,1010400622,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/2013 notation,4/9/2013,1010081329,BROFSArv,BROFSAap,tatarm
Approve refund per 3/21/2013 notation,4/9/2013,1010059933,BROFSArv,BROFSAap,tatarm
Approve refund per 3/22/13 notation,4/8/2013,1010308153,BROFSArv,BROFSAap,tatarm
Approve refund per 3/22/13 notation,4/8/2013,1010292742,BROFSArv,BROFSAap,tatarm
Approve refund per 3/22/13 notation,4/8/2013,1010240191,BROFSArv,BROFSAap,tatarm
Approve refund per 3/22/13 notation,4/8/2013,1010199003,BROFSArv,BROFSAap,tatarm
Approve refund per 3/22/13 notation,4/10/2013,1003768991,BROFSArv,BROFSAap,tatarm
Approve refund per 3/22/2013 notation,4/9/2013,1010012342,BROFSArv,BROFSAap,tatarm
Approve refund per 3/28/13 notation,4/8/2013,1003771493,BROFSArv,BROFSAap,tatarm
Approve refund per 3/29/13 notation,4/15/2013,1010234407,BROFSArv,BROFSAap,tatarm
Approve refund per 3/29/13 notation,4/15/2013,1010234407,BROFSArv,BROFSAap,tatarm
Approve refund per 4/11/13 notation,4/11/2013,1003777038,BROFSArv,BROFSAap,tatarm
Approve refund per 4/9/13 notation,4/10/2013,1010001278,BROFSArv,BROFSAap,tatarm
Approve refund per 4/9/13 notation,4/15/2013,1010001278,BROFSArv,BROFSAap,tatarm
Approve refund per notation 3/13/2013,4/4/2013,1009907743,BROFSArv,BROFSAap,tatarm
Approve refund per notation 3/21/13,4/9/2013,1010163956,BROFSArv,BROFSAap,tatarm
Approve refund per notation 3/21/13,4/8/2013,1010600031,BROFSArv,BROFSAap,tatarm
Approve refund per notation 3/21/2013,4/8/2013,1010694246,BROFSArv,BROFSAap,tatarm
Approve Refund taken on 3/8/13:  Entire amt for $29.86 should go to TOP refund only.  No cc chargeback.,4/1/2013,1009747629,BROFSArv,BROFSAap,ferrelb
Approve Refund TOP after comp met to borr: $2354.00 2/25/13,4/4/2013,1009743426,BROFSArv,BROFSAap,tatarm
"Approve Refund TOP after comp to borrower for $2,420.99  on 3/11/13 (comp met for $2,212.00).",4/8/2013,1010509550,BROFSArv,BROFSAap,tatarm
Approve Refund TOP after consol to borr: $424.95 2/18/13,4/3/2013,1010462713,BROFSArv,BROFSAap,tatarm
Approve Refund TOP after TPD approval to borr: $115.00 2/21/13,4/4/2013,1010329382,BROFSArv,BROFSAap,tatarm
Approve Refund TOP due to bkry filed 2/11/13: $3985.08 2/26/13,4/4/2013,1010274757,BROFSArv,BROFSAap,tatarm
Approve Refund TOP for closed school discharge approval on 3/20/13: $3168.45 2/25/13,4/8/2013,1011351687,BROFSArv,BROFSAap,tatarm
Approve Refund TOP for comp op to borr: $1669.00 2/13/13,4/3/2013,1010403526,BROFSArv,BROFSAap,tatarm
Approve REFUND TOP FOR HARDSHIP: 2-19-13 $3063.00 T#S90772 (REDO RQST),4/16/2013,1003701753,BROFSArv,BROFSAap,ferrelb
Approve REFUND TOP FOR HARDSHIP: 2-19-13 $3063.00 T#S90772761,4/11/2013,1003701753,BROFSArv,BROFSAap,ferrelb
Approve Refund TOP for hdshp per shumpet: $2583.29 2/13/13,4/3/2013,1010375914,BROFSArv,BROFSAap,tatarm
Approve Refund TOP to borr due to consol per sup: $2042.44 2/5/13,4/4/2013,1010167744,BROFSArv,BROFSAap,tatarm
Approve Refund TOP to borr for FUNF discharge: $715.95 2/22/13,4/3/2013,1010587175,BROFSArv,BROFSAap,tatarm
"Approve REFUND TOP TO BORR PER SHUMPET: $2592.00, T#S9117",4/8/2013,1009884241,BROFSArv,BROFSAap,ferrelb
Approve Refund TOP to borrower for $755.25  on 2/13/13.,4/8/2013,1010579584,BROFSArv,BROFSAap,tatarm
Approve Refund vol after rehab to Nelnet: $100.00 3/6/13,4/3/2013,1010437605,BROFSArv,BROFSAap,tatarm
Approve Refund vols after rehab to Pheaa: $200.00 12/3/12; $200.00 12/31/12,4/3/2013,1010440832,BROFSArv,BROFSAap,tatarm
"Approve refund: $1012.43 to borrower, additional AWG pymts posted after acct PIF",11/27/2012,1003781880,BROFSArv,BROFSAap,ferrelb
Approve refund: INTERNAL APPROVAL; REFUND $90.81 (1) AWG OP (1) PARTIAL TOP OP TO BORROWER,4/1/2013,1003796480,BROFSArv,BROFSAap,ferrelb
Approved additional refund totaling $746.73 AWG OPS to Borr - ($508.39 on 3/11/13 & $238.34 on 2/27/13).,4/11/2013,1003781880,BROFSArv,BROFSAap,halords
APPROVED EFUND TO BORROWER,4/5/2013,1010195950,BROFSArv,BROFSAap,greshae
"Approved FO refund to b/rehab
",4/2/2013,1010839110,BROFSArv,BROFSAap,toomerc
Approved refund  101.08 to Lender DLCN Montgomery AL.,4/5/2013,1015022668,BROFSArv,BROFSAap,gissenk
Approved refund  to borrower1495.28 TOP after Comp paid.,3/29/2013,1010824507,BROFSArv,BROFSAap,gissenk
Approved Refund $200.00 to borrower/PCA error on Vol payment**GCollins reg4,1/15/2013,1010161655,BROFSArv,BROFSAap,colling
"Approved refund $300.00, 07/11/2012; $300.00, 08/14/2012 VO payments to Ed/Sallie Mae posted after account recall 
",10/10/2012,1010753162,BROFSArv,BROFSAap,cumminm
"Approved refund $33.53 AWG to borrower, AWG OP",3/7/2013,1003937226,BROFSArv,BROFSAap,marksp
"Approved refund $88.90 2/19/13 AWG to borrower, AWG posted after Compromise ",3/7/2013,1011582939,BROFSArv,BROFSAap,marksp
"Approved Refund $909.99 for additional AWG pymnts after pif: $176.51 12/28/12 tr#7504680; $475.35 1/14/13 tr#7504085; $258.13 
1/25/13 tr#7501200",2/5/2013,1003781880,BROFSArv,BROFSAap,andrewr
Approved refund 103.08 to borrower AWG OP.,4/8/2013,1011302993,BROFSArv,BROFSAap,gissenk
Approved refund 104.36 to Lender DLCN Montgomery CONSOL OP.,4/8/2013,1010322972,BROFSArv,BROFSAap,gissenk
Approved refund 1081.00 to borrower TOP OP.,4/12/2013,1010648309,BROFSArv,BROFSAap,gissenk
Approved refund 109.00 to borrower TOP after COMP SIF.,4/5/2013,1011334328,BROFSArv,BROFSAap,gissenk
Approved refund 1092.18 to borrower TOP OP.,4/12/2013,1010604482,BROFSArv,BROFSAap,gissenk
Approved refund 1199.68 to borrower TOP Offset after Comp.,3/29/2013,1010646998,BROFSArv,BROFSAap,gissenk
Approved refund 120.96 to borrower AWG OP.,4/12/2013,1010605489,BROFSArv,BROFSAap,gissenk
Approved refund 124.03 to borrower after COMP.,4/9/2013,1010066172,BROFSArv,BROFSAap,gissenk
Approved refund 126.13 CONSOL OP to Lender DL Montgomery.,4/9/2013,1010166509,BROFSArv,BROFSAap,gissenk
Approved refund 1306.00 to borrower TOP OP.,4/11/2013,1011343772,BROFSArv,BROFSAap,gissenk
Approved refund 131.00 to borrower TOP after Comp paid.,3/29/2013,1010687896,BROFSArv,BROFSAap,gissenk
Approved refund 138.81 to borrower TOP OP.,4/12/2013,1010780781,BROFSArv,BROFSAap,gissenk
Approved refund 143.15 to borrower IRS Tax Offset.,3/29/2013,1011298106,BROFSArv,BROFSAap,gissenk
Approved refund 150.98 to borrower AWG after COMP.,4/9/2013,1009836955,BROFSArv,BROFSAap,gissenk
Approved refund 154.00 to PHEAA VOL payment.,4/15/2013,1010443760,BROFSArv,BROFSAap,gissenk
Approved refund 1560.00 to borrower TOP after TPD.,4/15/2013,1010694197,BROFSArv,BROFSAap,gissenk
Approved refund 159.49 to borrower Partial TOP OP.,4/12/2013,1010637375,BROFSArv,BROFSAap,gissenk
Approved refund 170.25 to borrower TOP after COMP.,4/15/2013,1010738708,BROFSArv,BROFSAap,gissenk
Approved refund 1724.12 to borrower partial TOP after COMP paid to SIF ln.,3/29/2013,1011324200,BROFSArv,BROFSAap,gissenk
Approved refund 1724.49 to borrower TOP after Comp.,4/15/2013,1010754729,BROFSArv,BROFSAap,gissenk
Approved refund 1764.57 to Dept of ED/ PHEAA VOL after Rehab.,3/29/2013,1010408298,BROFSArv,BROFSAap,gissenk
Approved refund 177.56 to borrower TOP after COMP.,4/8/2013,1010802305,BROFSArv,BROFSAap,gissenk
Approved refund 183.00 to borrower TOP Offset after Comp.,3/29/2013,1010440198,BROFSArv,BROFSAap,gissenk
Approved refund 187.00 to borrower TOP and AWG OP.,4/15/2013,1011354147,BROFSArv,BROFSAap,gissenk
Approved refund 1960.17 to borrower TOP after CONSOL.,4/12/2013,1010661322,BROFSArv,BROFSAap,gissenk
Approved refund 199.30 to borrower TOP after Comp paid.,3/29/2013,1010654956,BROFSArv,BROFSAap,gissenk
Approved refund 1990.02 to borrower Partial TOP .,4/11/2013,1010585402,BROFSArv,BROFSAap,gissenk
Approved refund 1990.02 to borrower Partial TOP. Previous request didn't process.,4/16/2013,1010585402,BROFSArv,BROFSAap,gissenk
Approved refund 1990.10 to borrower VOL OP .,3/29/2013,1010295569,BROFSArv,BROFSAap,gissenk
Approved refund 2028.57 to borrower TOP after CONSOL.,4/12/2013,1010793653,BROFSArv,BROFSAap,gissenk
Approved refund 209.01 to Lender Great Lakes VOL OP,4/18/2013,1013050676,BROFSArv,BROFSAap,gissenk
Approved refund 210.00 to AES PHEAA VOL after Rehab ,3/29/2013,1010221618,BROFSArv,BROFSAap,gissenk
Approved refund 235.00 to borrowerVOL pmt after Comp paid.,3/29/2013,1015070559,BROFSArv,BROFSAap,gissenk
Approved refund 2360.67 to lender DLCN Montgomery.,4/8/2013,1010540127,BROFSArv,BROFSAap,gissenk
Approved refund 240.00 VOL after Rehab to CSB-Perkins/ACS INC.,3/29/2013,1010617529,BROFSArv,BROFSAap,gissenk
Approved refund 2407.45 to borrower TOP OP.,3/29/2013,1010089613,BROFSArv,BROFSAap,gissenk
Approved refund 245.03 to borrower TOP and AWG OP.,4/8/2013,1010641395,BROFSArv,BROFSAap,gissenk
Approved refund 245.77 to borrower AWG OP.,4/15/2013,1010623030,BROFSArv,BROFSAap,gissenk
Approved refund 260.00 to Lender Nelnet.,4/8/2013,1010401573,BROFSArv,BROFSAap,gissenk
Approved refund 264.60 Partial TOP OP and AWG OP.,4/15/2013,1010840887,BROFSArv,BROFSAap,gissenk
Approved refund 2670.44 to borrower Partial TOP hardship.,4/9/2013,1010098939,BROFSArv,BROFSAap,gissenk
Approved refund 271.08 to borrower AWG OP.,4/8/2013,1010362655,BROFSArv,BROFSAap,gissenk
Approved refund 273.56 to borrower TOP OP.,4/12/2013,1010762686,BROFSArv,BROFSAap,gissenk
Approved refund 299.99 to Lender GREAT LAKES VOL after Rehab.,4/11/2013,1015286083,BROFSArv,BROFSAap,gissenk
"Approved refund 302.98 to borrower, account FO after SIF.",5/7/2012,1003689671,BROFSArv,BROFSAap,toomerc
Approved refund 303.72 to Lender DL Montgomery CONSOL OP.,4/8/2013,1010360094,BROFSArv,BROFSAap,gissenk
Approved refund 3125.53 to borrower TOP after COMP.,4/8/2013,1010513702,BROFSArv,BROFSAap,gissenk
Approved refund 317.14 to LENDER DL Montgomery AL VOL CONSOL OP,4/12/2013,1010724422,BROFSArv,BROFSAap,gissenk
Approved refund 3177.00 to borrower TOP after Consoldiation,3/29/2013,1010080356,BROFSArv,BROFSAap,gissenk
Approved refund 32.63 to borrower Partial TOP.,4/11/2013,1011287635,BROFSArv,BROFSAap,gissenk
Approved refund 320.69 to borrower PARTIAL TOP.,4/8/2013,1010076752,BROFSArv,BROFSAap,gissenk
Approved refund 3404.00 to borrower TOP Offset.,3/29/2013,1010618944,BROFSArv,BROFSAap,gissenk
Approved refund 341.19 to borrower AWG OP.,4/8/2013,1010514133,BROFSArv,BROFSAap,gissenk
Approved refund 3445.00 to borrower TOP HS.,4/5/2013,1011375385,BROFSArv,BROFSAap,gissenk
Approved refund 346.25 to Lender DLCN Montgomery CONSOL OP.,4/8/2013,1010301868,BROFSArv,BROFSAap,gissenk
Approved refund 35.00 to LENDER NELNET VOL after Rehab.,4/12/2013,1010742705,BROFSArv,BROFSAap,gissenk
Approved refund 366.16 to LENDER DL-Montgomery AL. CON OP.,4/12/2013,1010690669,BROFSArv,BROFSAap,gissenk
Approved refund 3706.93 to borrower TOP OP.,4/9/2013,1003732328,BROFSArv,BROFSAap,gissenk
Approved refund 3866.74 to borrower PARTIAL TOP ,4/8/2013,1009831171,BROFSArv,BROFSAap,gissenk
Approved refund 3875.31 to Lender DL Montgomery AL. CONSOL OP.,4/11/2013,1010838926,BROFSArv,BROFSAap,gissenk
Approved refund 3926.54 to Lender DLCN Montgomery AL.,4/9/2013,1010079809,BROFSArv,BROFSAap,gissenk
Approved refund 3973.49 to borrower TOP after Con.,4/9/2013,1009723194,BROFSArv,BROFSAap,gissenk
Approved refund 4091.81 to borrower Partial TOP.,4/11/2013,1011277665,BROFSArv,BROFSAap,gissenk
Approved refund 4091.81 to borrower Partial TOP. Previous request didn't process.,4/16/2013,1011277665,BROFSArv,BROFSAap,gissenk
Approved refund 434.47 to borrower TOP offset after Comp.,3/29/2013,1010354578,BROFSArv,BROFSAap,gissenk
